"","edgeuid","median_average_speed"
"1077",153329497,7.25
"1078",153329502,7.32
"1079",153329503,8.135
"1080",153329505,7.85
"1081",153329506,8.44
"1082",153329507,5.75
"1083",153329509,6.23
"1084",153329510,5.99
"1085",153329511,5.38
"1086",153329512,4.22
"1087",153329514,4.37
"1088",153329525,5.57
"1089",153329532,3.97
"1090",153329535,4.76
"1091",153329536,4.945
"1092",153329584,7.62
"1093",153329587,7.88
"1094",153329599,8.49
"1095",153329600,9.18
"1096",153329601,9.41
"1097",153329603,9.69
"1098",153329604,3.3
"1099",153329605,2.45
"1100",153329613,5.23
"1101",153329615,5.615
"1102",153329616,5.49
"1103",153329638,9.85
"1104",153329641,5.45
"1105",153329646,4.8
"1106",153329647,4.88
"1107",153329648,4.26
"1108",153329649,4.45
"1109",153329650,4.75
"1110",153329652,4.77
"1111",153329653,4.17
"1112",153329654,4.505
"1113",153329655,4
"1114",153329658,3.41
"1115",153329661,2.72
"1116",153329662,4.735
"1117",153329668,5.205
"1118",153329672,2.56
"1119",153329675,5.14
"1120",153329680,2.47
"1121",153329682,2.47
"1122",153329686,9.98
"1123",153329687,10.39
"1124",153329688,12.45
"1125",153329689,11.58
"1126",153329690,10.51
"1127",153329691,9.85
"1128",153329694,6.565
"1129",153329695,7.11
"1130",153329698,9.67
"1131",153329700,9.465
"1132",153329702,7.23
"1133",153329703,6.91
"1134",153329704,6.92
"1135",153329706,8.28
"1136",153329707,3.145
"1137",153329711,3.98
"1138",153329712,3.35
"1139",153329713,3.87
"1140",153329714,4.77
"1141",153329715,3.42
"1142",153329717,6.73
"1143",153329719,9.52
"1144",153329721,5.26
"1145",153329722,9.44
"1146",153329724,5.22
"1147",153329725,5.335
"1148",153329726,5.86
"1149",153329728,5.885
"1150",153329729,4.85
"1151",153329730,5.93
"1152",153329732,6.11
"1153",153329733,5.38
"1154",153329734,5.06
"1155",153329735,3.475
"1156",153329736,5.45
"1157",153329738,5.405
"1158",153329739,5.295
"1159",153329740,0.21
"1160",153329742,5.175
"1161",153329744,2.63
"1162",153329746,3.9575
"1163",153329750,2.28
"1164",153329752,2.44
"1165",153329753,1.3
"1166",153329754,7.21
"1167",153329755,7.23
"1168",153329757,7.58
"1169",153329758,6.75
"1170",153329760,5.12
"1171",153329762,7.15
"1172",153329764,7.04
"1173",153329765,7.18
"1174",153329780,2.385
"1175",153329783,7.76
"1176",153329788,3.255
"1177",153329790,4.63
"1178",153329797,1.21
"1179",153329799,4.83
"1180",153329802,1.365
"1181",153329810,6.985
"1182",153329812,6.365
"1183",153329813,5.57
"1184",153329815,2.895
"1185",153329816,5.395
"1186",153329818,5.78
"1187",153329819,6.17
"1188",153329838,6.465
"1189",153329845,5.65
"1190",153329846,4.16
"1191",153329851,3.285
"1192",153329864,6.725
"1193",153329865,6.095
"1194",153329868,9.925
"1195",153329870,10.405
"1196",153329871,10.345
"1197",153329872,9.185
"1198",153329873,8.15
"1199",153329887,11.49
"1200",153329888,10.335
"1201",153329889,10.15
"1202",153329890,8.375
"1203",153329891,9.46
"1204",153329896,8.51
"1205",153329897,10.38
"1206",153329898,8.82
"1207",153329901,8.445
"1208",153329917,6.83
"1209",153329918,6.455
"1210",153329922,3.8
"1211",153329927,3.945
"1212",153329928,3.875
"1213",153329938,4.61
"1214",153329971,1.93
"1215",153329979,1.02
"1216",153329986,2.49
"1217",153329989,2.77
"1218",153329999,8.2
"1219",153330001,8.9
"1220",153330005,5.165
"1221",153330007,5.115
"1222",153330008,5.595
"1223",153330011,6.32
"1224",153330013,4.11
"1225",153330014,3.69
"1226",153330016,2.51
"1227",153330017,3.235
"1228",153330020,6.76
"1229",153330024,7.02
"1230",153330025,7.95
"1231",153330026,2.65
"1232",153330035,6.905
"1233",153330036,6.66
"1234",153330037,7.43
"1235",153330038,7.34
"1236",153330039,7.51
"1237",153330040,7.62
"1238",153330041,7.645
"1239",153330043,8.72
"1240",153330050,9.165
"1241",153330052,3.46
"1242",153330053,6.845
"1243",153330054,9.31
"1244",153330055,6.395
