"","edgeuid","year","total_trips"
"957",153328373,2019,40
"958",153328374,2019,5
"959",153328374,2021,5
"960",153328375,2019,40
"961",153328376,2019,45
"962",153328377,2019,55
"963",153328378,2019,45
"964",153328379,2019,55
"965",153328381,2019,45
"966",153328383,2019,40
"967",153328384,2019,40
"968",153328384,2021,20
"969",153328385,2019,40
"970",153328385,2021,20
"971",153328387,2019,40
"972",153328387,2021,20
"973",153328388,2019,45
"974",153328391,2019,40
"975",153328393,2019,40
"976",153328407,2019,5
"977",153328408,2021,20
"978",153328413,2019,5
"979",153328416,2019,40
"980",153328416,2021,20
"981",153328419,2019,5
"982",153328421,2019,5
"983",153328426,2019,5
"984",153328426,2021,15
"985",153328427,2019,5
"986",153328427,2021,15
"987",153328429,2021,15
"988",153328437,2021,20
"989",153328474,2019,10
"990",153328474,2021,20
"991",153328475,2019,10
"992",153328476,2019,65
"993",153328481,2019,10
"994",153328481,2021,15
"995",153328482,2019,10
"996",153328484,2019,10
"997",153328485,2019,10
"998",153328485,2021,20
"999",153328488,2019,5
"1000",153328489,2019,10
"1001",153328489,2021,20
"1002",153328490,2019,45
"1003",153328494,2019,40
"1004",153328494,2021,20
"1005",153328495,2019,5
"1006",153328505,2019,60
"1007",153328506,2019,45
"1008",153328508,2019,45
"1009",153328510,2019,55
"1010",153328512,2021,5
"1011",153328514,2019,40
"1012",153328517,2019,40
"1013",153328517,2021,20
"1014",153328520,2019,40
"1015",153328524,2019,40
"1016",153328524,2021,20
"1017",153328525,2019,40
"1018",153328533,2019,40
"1019",153328536,2019,40
"1020",153328537,2019,35
"1021",153328538,2019,40
"1022",153328541,2019,5
"1023",153328543,2019,5
"1024",153328543,2021,15
"1025",153328545,2019,5
"1026",153328549,2019,45
"1027",153328563,2019,30
"1028",153328580,2019,55
"1029",153328588,2019,5
"1030",153328589,2019,5
"1031",153328592,2019,10
"1032",153328598,2019,45
"1033",153328609,2019,45
"1034",153328611,2019,45
"1035",153328618,2019,30
"1036",153328624,2019,30
"1037",153328624,2021,5
"1038",153328629,2019,30
"1039",153328652,2019,35
"1040",153328653,2019,45
"1041",153328653,2021,40
"1042",153328655,2019,45
"1043",153328657,2019,45
"1044",153328663,2019,45
"1045",153328664,2019,45
"1046",153328664,2021,40
"1047",153328666,2019,45
"1048",153328679,2019,40
"1049",153328691,2019,40
"1050",153328691,2021,50
"1051",153328693,2019,35
"1052",153328696,2019,40
"1053",153328698,2019,40
"1054",153328700,2019,40
"1055",153328700,2021,40
"1056",153328737,2021,20
"1057",153328743,2019,40
"1058",153328743,2021,40
"1059",153328744,2019,40
"1060",153328748,2019,40
"1061",153328753,2019,40
"1062",153328753,2021,50
"1063",153328755,2019,40
"1064",153328760,2019,35
"1065",153328762,2019,5
"1066",153328769,2021,5
"1067",153328780,2019,40
"1068",153328782,2019,40
"1069",153328822,2021,20
"1070",153328883,2019,5
"1071",153328884,2019,5
"1072",153328884,2021,35
"1073",153328887,2019,35
"1074",153328889,2019,40
"1075",153328893,2019,5
"1076",153328893,2021,35
"1077",153328896,2019,5
"1078",153328896,2021,35
"1079",153328897,2019,5
"1080",153328897,2021,35
"1081",153328913,2019,35
"1082",153328913,2021,5
"1083",153328914,2019,5
"1084",153328918,2019,35
"1085",153328919,2019,5
"1086",153328920,2019,35
"1087",153328920,2021,5
"1088",153328921,2019,35
"1089",153328922,2019,5
"1090",153328922,2021,30
"1091",153328923,2019,5
"1092",153328925,2019,5
"1093",153328926,2019,5
"1094",153328928,2019,5
"1095",153328929,2019,5
"1096",153328931,2019,5
"1097",153328932,2019,35
"1098",153328938,2019,35
"1099",153328938,2021,5
"1100",153328940,2019,5
"1101",153328977,2019,60
"1102",153328980,2019,60
"1103",153328980,2021,150
"1104",153328990,2019,35
"1105",153328995,2019,30
"1106",153328995,2021,5
"1107",153329026,2019,35
"1108",153329027,2019,35
"1109",153329028,2019,10
"1110",153329029,2019,55
"1111",153329040,2019,40
"1112",153329040,2021,10
"1113",153329048,2019,40
"1114",153329049,2019,40
"1115",153329055,2019,40
"1116",153329057,2019,40
"1117",153329074,2019,40
"1118",153329076,2019,40
"1119",153329077,2019,40
"1120",153329077,2021,10
"1121",153329079,2019,40
"1122",153329104,2021,20
"1123",153329107,2019,40
"1124",153329109,2019,40
"1125",153329109,2021,10
"1126",153329110,2019,40
"1127",153329115,2021,5
"1128",153329124,2019,40
"1129",153329161,2019,40
"1130",153329161,2021,10
"1131",153329162,2019,40
"1132",153329163,2019,40
"1133",153329166,2019,35
"1134",153329167,2019,40
"1135",153329176,2019,35
"1136",153329176,2021,5
"1137",153329178,2019,35
"1138",153329181,2019,35
"1139",153329185,2019,35
"1140",153329188,2019,40
"1141",153329190,2019,40
"1142",153329192,2019,40
"1143",153329196,2019,5
"1144",153329197,2019,40
"1145",153329214,2019,10
"1146",153329216,2019,10
"1147",153329217,2019,10
