"","edgeuid","weekday","total_trips"
"13271",153780964,"Thu",10
"13272",153780964,"Fri",20
"13273",153780964,"Sat",35
"13274",153781052,"Sun",40
"13275",153781052,"Mon",10
"13276",153781052,"Fri",5
"13277",153781052,"Sat",25
"13278",153781054,"Sun",40
"13279",153781054,"Mon",10
"13280",153781054,"Fri",5
"13281",153781054,"Sat",25
"13282",153781055,"Sun",10
"13283",153781058,"Wed",5
"13284",153781060,"Sun",40
"13285",153781060,"Mon",10
"13286",153781060,"Wed",5
"13287",153781060,"Fri",5
"13288",153781060,"Sat",25
"13289",153781072,"Sun",5
"13290",153781076,"Sun",5
"13291",153781077,"Sun",5
"13292",153781079,"Sun",5
"13293",153781107,"Sun",5
"13294",153781107,"Mon",5
"13295",153781107,"Wed",5
"13296",153781107,"Fri",5
"13297",153781123,"Sun",5
"13298",153781123,"Mon",5
"13299",153781123,"Wed",5
"13300",153781123,"Fri",5
"13301",153781157,"Sun",5
"13302",153781159,"Sun",5
"13303",153781160,"Sun",5
"13304",153781161,"Sun",10
"13305",153781161,"Mon",5
"13306",153781161,"Wed",5
"13307",153781161,"Fri",5
"13308",153781163,"Sun",10
"13309",153781163,"Mon",5
"13310",153781163,"Wed",5
"13311",153781163,"Fri",5
"13312",153781165,"Sun",75
"13313",153781165,"Mon",10
"13314",153781165,"Tue",10
"13315",153781165,"Wed",10
"13316",153781165,"Thu",55
"13317",153781165,"Fri",25
"13318",153781165,"Sat",40
"13319",153781167,"Sun",70
"13320",153781167,"Mon",10
"13321",153781167,"Tue",10
"13322",153781167,"Wed",10
"13323",153781167,"Thu",55
"13324",153781167,"Fri",25
"13325",153781167,"Sat",40
"13326",153781169,"Sun",75
"13327",153781169,"Mon",10
"13328",153781169,"Tue",10
"13329",153781169,"Wed",10
"13330",153781169,"Thu",55
"13331",153781169,"Fri",25
"13332",153781169,"Sat",40
"13333",153781170,"Sun",75
"13334",153781170,"Mon",15
"13335",153781170,"Tue",10
"13336",153781170,"Wed",15
"13337",153781170,"Thu",55
"13338",153781170,"Fri",30
"13339",153781170,"Sat",40
"13340",153781172,"Sun",75
"13341",153781172,"Mon",10
"13342",153781172,"Tue",10
"13343",153781172,"Wed",10
"13344",153781172,"Thu",55
"13345",153781172,"Fri",25
"13346",153781172,"Sat",40
"13347",153781179,"Sun",5
"13348",153781198,"Sun",10
"13349",153781198,"Wed",10
"13350",153781198,"Thu",5
"13351",153781198,"Fri",10
"13352",153781199,"Sun",10
"13353",153781199,"Fri",5
"13354",153781201,"Sun",120
"13355",153781201,"Mon",25
"13356",153781201,"Tue",10
"13357",153781201,"Wed",25
"13358",153781201,"Thu",30
"13359",153781201,"Fri",40
"13360",153781201,"Sat",105
"13361",153781225,"Sun",380
"13362",153781225,"Mon",140
"13363",153781225,"Tue",185
"13364",153781225,"Wed",185
"13365",153781225,"Thu",120
"13366",153781225,"Fri",230
"13367",153781225,"Sat",420
"13368",153781226,"Sun",380
"13369",153781226,"Mon",130
"13370",153781226,"Tue",155
"13371",153781226,"Wed",205
"13372",153781226,"Thu",145
"13373",153781226,"Fri",215
"13374",153781226,"Sat",400
"13375",153781233,"Thu",5
"13376",153781233,"Sat",5
"13377",153781236,"Sun",250
"13378",153781236,"Mon",105
"13379",153781236,"Tue",110
"13380",153781236,"Wed",110
"13381",153781236,"Thu",80
"13382",153781236,"Fri",165
"13383",153781236,"Sat",275
"13384",153781238,"Sun",180
"13385",153781238,"Mon",70
"13386",153781238,"Tue",70
"13387",153781238,"Wed",75
"13388",153781238,"Thu",75
"13389",153781238,"Fri",110
"13390",153781238,"Sat",160
"13391",153781241,"Sun",350
"13392",153781241,"Mon",130
"13393",153781241,"Tue",130
