"","edgeuid","month","total_trips"
"1124",153329109,"June",40
"1125",153329109,"September",10
"1126",153329110,"June",40
"1127",153329115,"September",5
"1128",153329124,"June",40
"1129",153329161,"June",40
"1130",153329161,"September",10
"1131",153329162,"June",40
"1132",153329163,"June",40
"1133",153329166,"June",35
"1134",153329167,"June",40
"1135",153329176,"June",35
"1136",153329176,"September",5
"1137",153329178,"June",35
"1138",153329181,"June",35
"1139",153329185,"June",35
"1140",153329188,"June",40
"1141",153329190,"June",40
"1142",153329192,"June",40
"1143",153329196,"June",5
"1144",153329197,"June",40
"1145",153329214,"June",10
"1146",153329216,"June",10
"1147",153329217,"June",10
