"","edgeuid","median_average_speed"
"1185",153311221,19.55
"1186",153311238,1.12
"1187",153311240,1.06
"1188",153311253,0.67
"1189",153311254,0.97
"1190",153311255,1.055
"1191",153311265,1.29
"1192",153311274,1.56
"1193",153311276,9.47
"1194",153311292,1.32
"1195",153311297,1.725
"1196",153311298,1.185
"1197",153311300,1.4
"1198",153311301,1.34
"1199",153311329,1.57
"1200",153311330,1.67
"1201",153311331,1.41
"1202",153311332,0.94
"1203",153311352,2.39
"1204",153311353,10.475
"1205",153311354,1.535
"1206",153311355,0.27
"1207",153311358,10.74
"1208",153311371,1.645
"1209",153311372,1.585
"1210",153311373,11.505
"1211",153311374,20.31
"1212",153311375,10.64
"1213",153311378,20.98
"1214",153311382,20.56
"1215",153311383,1.03
"1216",153311387,20.65
"1217",153311389,20.33
"1218",153311392,1.51
"1219",153311396,1.38
"1220",153311399,20.71
"1221",153311400,1.56
"1222",153311402,14.19
"1223",153311404,1.41
"1224",153311421,1.31
"1225",153311422,1.225
"1226",153311423,1.15
"1227",153311424,1.37
"1228",153311429,1.15
"1229",153311430,0.69
"1230",153311431,0.61
"1231",153311432,0.38
"1232",153311433,0.87
"1233",153311434,1.21
"1234",153311437,1.37
"1235",153311439,1.35
"1236",153311440,0.52
"1237",153311441,1.05
"1238",153311443,1.245
"1239",153311446,1.23
"1240",153311447,1.2
"1241",153311448,0.42
"1242",153311449,0.9
"1243",153311451,0.47
"1244",153311452,0.42
